Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Configuration,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
11,4,"C601, C602, C607, C610",10uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X5R,490-18664-1-ND,,,,,50V,,805
12,1,C605,6.8nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-1089-1-ND,,,,,50V,,603
13,5,"C1309, C1311, C1805, C1905, C2005",47pF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,NP0,399-7918-1-ND,,,,,50V,,603
14,8,"C1601, C1604, C1803, C1804, C1903, C1904, C2003, C2004",4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2970-1-ND,,,,,16V,,805
15,1,D201,24V,Device:D_TVS_ALT,Diodes_SMD:D_SMA,~,,,,,,SMAJ24CALFCT-ND,,,,,,,
16,2,"D401, D1501",BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,,,,497-5711-1-ND,,,,,,,
17,2,"D601, D2401",MBR0580,Diode:MBR0580,Diode_SMD:D_SOD-123,http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf,,,,,,MBR0580S1-7DICT-ND,,,,,,,
18,1,D801,PESD3V3L5UY,Power_Protection:PESD3V3L5UY,Package_TO_SOT_SMD:SOT-363_SC-70-6,https://assets.nexperia.com/documents/data-sheet/PESDXL5UF_V_Y.pdf,,,,,,1727-3828-1-ND,,,,,,,
19,2,"D1301, D2304",Yellow,Device:LED,LEDs:LED_0603,~,,,,,,754-1124-1-ND,,,,,,,
20,11,"D1601, D1602, D1603, D1605, D1701, D1801, D1901, D2001, D2301, D2302, D2303",Green,Device:LED,LEDs:LED_0603,~,,,,,,754-1121-1-ND,,,,,,,
21,4,"D1604, D1702, D1703, D1704",Red,Device:LED,LEDs:LED_0603,~,,,,,,754-1117-1-ND,,,,,,,
22,3,"D1802, D1902, D2002",ASMB-MTB0-0A3A2,LED:ASMB-MTB0-0A3A2,LED_SMD:LED_Avago_PLCC4_3.2x2.8mm_CW,https://docs.broadcom.com/docs/AV02-4186EN,,,,,,516-3279-1-ND,,,,,,,
23,3,"D1803, D1903, D2003","BZX384-B3V3,115",Diode:DZ2S033X0L,Diode_SMD:D_SOD-323,https://industrial.panasonic.com/content/data/SC/ds/ds4/DZ2S03300L_E.pdf,,,,,,1727-3654-1-ND,,,,,,,
24,1,DOC301,0x40,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
25,1,DOC302,0x18,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
26,1,DOC501,0x41,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
27,1,DOC502,0x19,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
28,1,DOC701,0x42,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
29,1,DOC702,0x1A,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
30,1,DOC1201,0x68,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
31,1,DOC1301,COM_Port_Settings,Custom_Library:COM_Port_Settings,,,,115200 bps,,8 bit,,,None,None,1,,,,
32,1,DOC1401,0x43,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
33,1,DOC1402,0x1B,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
34,1,DOC1501,0x6B,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
35,1,DOC2101,0x14,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
36,1,DOC2401,0x1C,Custom_Library:I2C_Address,,,,,,,,,,,,,,,
37,4,"H2501, H2502, H2503, H2504",3mm Mounting Hole,Mechanical:MountingHole,Mounting_Holes:MountingHole_3mm_Pad_Via,~,,,,,,,,,,,,,
38,1,J201,+12V IN,Connector:Barrel_Jack_Switch,Connectors:BARREL_JACK,~,,,,,,,,,,,,,
39,1,J801,PICKIT4,Connector_Generic:Conn_01x08,Custom Footprints Library:PICKIT4_Header,~,,,,,,,,,,,,,
40,1,J1301,USB_B_Mini,Connector:USB_B_Mini,Connectors:USB_Mini-B,~,,,,,,732-2109-1-ND,,,,,,,
41,1,J2401,I2C,Connector_Generic:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,~,,,,,,,,,,,,,
42,1,J2402,USB UART,Connector_Generic:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,~,,,,,,,,,,,,,
